"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"1529" "LCV" 115 170 3825 NA " Bolapalli ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Bolapalli ( BOT )  Km 1200.000 - NH-16 ( Old 5 ) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 60.695 " Ongole Bypass of 10.125 Km Km" "( BOT ) " 25500000000 2011-11-21 1085800000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "C. Kesava Reddy / 8096999030" "Simhapuri Expressway Limited" 24769 2014-03-31 21766 2013-12-25 FALSE
"1530" "Bus/Truck" 240 360 8010 NA " Bolapalli ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Bolapalli ( BOT )  Km 1200.000 - NH-16 ( Old 5 ) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 60.695 " Ongole Bypass of 10.125 Km Km" "( BOT ) " 25500000000 2011-11-21 1085800000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "C. Kesava Reddy / 8096999030" "Simhapuri Expressway Limited" 24769 2014-03-31 21766 2013-12-25 FALSE
"1531" "Upto 3 Axle Vehicle" 375 565 12560 NA " Bolapalli ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Bolapalli ( BOT )  Km 1200.000 - NH-16 ( Old 5 ) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 60.695 " Ongole Bypass of 10.125 Km Km" "( BOT ) " 25500000000 2011-11-21 1085800000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "C. Kesava Reddy / 8096999030" "Simhapuri Expressway Limited" 24769 2014-03-31 21766 2013-12-25 FALSE
"1532" "4 to 6 Axle" 375 565 12560 NA " Bolapalli ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Bolapalli ( BOT )  Km 1200.000 - NH-16 ( Old 5 ) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 60.695 " Ongole Bypass of 10.125 Km Km" "( BOT ) " 25500000000 2011-11-21 1085800000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "C. Kesava Reddy / 8096999030" "Simhapuri Expressway Limited" 24769 2014-03-31 21766 2013-12-25 FALSE
"1533" "HCM/EME" 375 565 12560 NA " Bolapalli ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Bolapalli ( BOT )  Km 1200.000 - NH-16 ( Old 5 ) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 60.695 " Ongole Bypass of 10.125 Km Km" "( BOT ) " 25500000000 2011-11-21 1085800000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "C. Kesava Reddy / 8096999030" "Simhapuri Expressway Limited" 24769 2014-03-31 21766 2013-12-25 FALSE
"1534" "7 or more Axle" 460 660 15290 NA " Bolapalli ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Bolapalli ( BOT )  Km 1200.000 - NH-16 ( Old 5 ) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 60.695 " Ongole Bypass of 10.125 Km Km" "( BOT ) " 25500000000 2011-11-21 1085800000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "C. Kesava Reddy / 8096999030" "Simhapuri Expressway Limited" 24769 2014-03-31 21766 2013-12-25 FALSE
"1535" "Car/Jeep/Van" 70 105 2300 NA " Tangutur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Tangutur ( BOT )  Km 1264.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 69 "s) " "( BOT ) " 25500000000 2011-11-21 1792000000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "K.N.Murthy / 8096999045" "Simhapuri Expressway Limited" 38091 2013-12-25 35022 2013-12-25 FALSE
"1536" "LCV" 110 165 3720 NA " Tangutur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Tangutur ( BOT )  Km 1264.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 69 "s) " "( BOT ) " 25500000000 2011-11-21 1792000000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "K.N.Murthy / 8096999045" "Simhapuri Expressway Limited" 38091 2013-12-25 35022 2013-12-25 FALSE
"1537" "Bus/Truck" 235 350 7790 NA " Tangutur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Tangutur ( BOT )  Km 1264.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 69 "s) " "( BOT ) " 25500000000 2011-11-21 1792000000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "K.N.Murthy / 8096999045" "Simhapuri Expressway Limited" 38091 2013-12-25 35022 2013-12-25 FALSE
"1538" "Upto 3 Axle Vehicle" 365 550 12215 NA " Tangutur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Tangutur ( BOT )  Km 1264.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 69 "s) " "( BOT ) " 25500000000 2011-11-21 1792000000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "K.N.Murthy / 8096999045" "Simhapuri Expressway Limited" 38091 2013-12-25 35022 2013-12-25 FALSE
"1539" "4 to 6 Axle" 365 550 12215 NA " Tangutur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Tangutur ( BOT )  Km 1264.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 69 "s) " "( BOT ) " 25500000000 2011-11-21 1792000000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "K.N.Murthy / 8096999045" "Simhapuri Expressway Limited" 38091 2013-12-25 35022 2013-12-25 FALSE
"1540" "HCM/EME" 365 550 12215 NA " Tangutur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Tangutur ( BOT )  Km 1264.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 69 "s) " "( BOT ) " 25500000000 2011-11-21 1792000000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "K.N.Murthy / 8096999045" "Simhapuri Expressway Limited" 38091 2013-12-25 35022 2013-12-25 FALSE
"1541" "7 or more Axle" 445 670 14870 NA " Tangutur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Tangutur ( BOT )  Km 1264.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 69 "s) " "( BOT ) " 25500000000 2011-11-21 1792000000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "K.N.Murthy / 8096999045" "Simhapuri Expressway Limited" 38091 2013-12-25 35022 2013-12-25 FALSE
"1542" "Car/Jeep/Van" 85 130 2865 45 " Kasepalli ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Kasepalli ( BOT )  Km 310.200 - NH-44 (Old 7) in Andhra Pradesh  " " Karidikonda - Marur  " 79 "s) " "( BOT ) " 5192200000 2013-05-16 196800000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Raju Kamani / 9640278645" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 9541 2013-12-31 FALSE
"1543" "LCV" 140 210 4630 70 " Kasepalli ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Kasepalli ( BOT )  Km 310.200 - NH-44 (Old 7) in Andhra Pradesh  " " Karidikonda - Marur  " 79 "s) " "( BOT ) " 5192200000 2013-05-16 196800000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Raju Kamani / 9640278645" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 9541 2013-12-31 FALSE
"1544" "Bus/Truck" 290 435 9700 145 " Kasepalli ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Kasepalli ( BOT )  Km 310.200 - NH-44 (Old 7) in Andhra Pradesh  " " Karidikonda - Marur  " 79 "s) " "( BOT ) " 5192200000 2013-05-16 196800000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Raju Kamani / 9640278645" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 9541 2013-12-31 FALSE
"1545" "Upto 3 Axle Vehicle" 315 475 10580 160 " Kasepalli ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Kasepalli ( BOT )  Km 310.200 - NH-44 (Old 7) in Andhra Pradesh  " " Karidikonda - Marur  " 79 "s) " "( BOT ) " 5192200000 2013-05-16 196800000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Raju Kamani / 9640278645" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 9541 2013-12-31 FALSE
"1546" "4 to 6 Axle" 455 685 15210 230 " Kasepalli ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Kasepalli ( BOT )  Km 310.200 - NH-44 (Old 7) in Andhra Pradesh  " " Karidikonda - Marur  " 79 "s) " "( BOT ) " 5192200000 2013-05-16 196800000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Raju Kamani / 9640278645" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 9541 2013-12-31 FALSE
"1547" "HCM/EME" 455 685 15210 230 " Kasepalli ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Kasepalli ( BOT )  Km 310.200 - NH-44 (Old 7) in Andhra Pradesh  " " Karidikonda - Marur  " 79 "s) " "( BOT ) " 5192200000 2013-05-16 196800000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Raju Kamani / 9640278645" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 9541 2013-12-31 FALSE
"1548" "7 or more Axle" 555 835 18515 280 " Kasepalli ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Kasepalli ( BOT )  Km 310.200 - NH-44 (Old 7) in Andhra Pradesh  " " Karidikonda - Marur  " 79 "s) " "( BOT ) " 5192200000 2013-05-16 196800000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Raju Kamani / 9640278645" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 9541 2013-12-31 FALSE
"1549" "Car/Jeep/Van" 68 NA NA 34 " Tasawade ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Tasawade ( BOT )  Km 694.150 - NH-47 in Maharashtra  " " Satara - Kagal  " NA "s) " "( BOT ) " 6034300000 2005-10-01 3589300000 2014-09-25 2005-05-05 "Sr No. - )" 100000 "Sh.S.R.Kolhe / 9167755079" "M/s Maharashtra State Road Development Corporation" NA 2017-12-31 39386 2012-04-30 FALSE
"1550" "LCV" 119 NA NA 59 " Tasawade ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Tasawade ( BOT )  Km 694.150 - NH-47 in Maharashtra  " " Satara - Kagal  " NA "s) " "( BOT ) " 6034300000 2005-10-01 3589300000 2014-09-25 2005-05-05 "Sr No. - )" 100000 "Sh.S.R.Kolhe / 9167755079" "M/s Maharashtra State Road Development Corporation" NA 2017-12-31 39386 2012-04-30 FALSE
"1551" "Bus/Truck" 238 NA NA 119 " Tasawade ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Tasawade ( BOT )  Km 694.150 - NH-47 in Maharashtra  " " Satara - Kagal  " NA "s) " "( BOT ) " 6034300000 2005-10-01 3589300000 2014-09-25 2005-05-05 "Sr No. - )" 100000 "Sh.S.R.Kolhe / 9167755079" "M/s Maharashtra State Road Development Corporation" NA 2017-12-31 39386 2012-04-30 FALSE
"1552" "Upto 3 or more Axle Vehicle" NA NA NA NA " Tasawade ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Tasawade ( BOT )  Km 694.150 - NH-47 in Maharashtra  " " Satara - Kagal  " NA "s) " "( BOT ) " 6034300000 2005-10-01 3589300000 2014-09-25 2005-05-05 "Sr No. - )" 100000 "Sh.S.R.Kolhe / 9167755079" "M/s Maharashtra State Road Development Corporation" NA 2017-12-31 39386 2012-04-30 FALSE
"1553" "Car/Jeep/Van" 68 NA NA 34 " Kini ( BOT ) " 1 "Vehicles passing through both the toll booths are required to pay the specified fee for the entire project stretch between km 592.240 and Km 725.000 and vehicles passing through only one of the toll booths are required to pay 50%  of the said fee." 2015-07-01 2016-06-30 " Kini ( BOT )  Km 634.500 - NH-47 in Maharashtra  " " Satara - Kagal  " NA "s) " "( BOT ) " 6034300000 2005-11-01 3013900000 2014-09-25 2005-05-05 "Sr No. - )" 100000 "Sh.B.B. Wadkar / 8879616073" "M/s Maharashtra State Road Development Corporation" NA 2017-12-31 34025 2012-04-30 FALSE
"1554" "LCV" 119 NA NA 59 " Kini ( BOT ) " 1 "Vehicles passing through both the toll booths are required to pay the specified fee for the entire project stretch between km 592.240 and Km 725.000 and vehicles passing through only one of the toll booths are required to pay 50%  of the said fee." 2015-07-01 2016-06-30 " Kini ( BOT )  Km 634.500 - NH-47 in Maharashtra  " " Satara - Kagal  " NA "s) " "( BOT ) " 6034300000 2005-11-01 3013900000 2014-09-25 2005-05-05 "Sr No. - )" 100000 "Sh.B.B. Wadkar / 8879616073" "M/s Maharashtra State Road Development Corporation" NA 2017-12-31 34025 2012-04-30 FALSE
"1555" "Bus/Truck" 238 NA NA 119 " Kini ( BOT ) " 1 "Vehicles passing through both the toll booths are required to pay the specified fee for the entire project stretch between km 592.240 and Km 725.000 and vehicles passing through only one of the toll booths are required to pay 50%  of the said fee." 2015-07-01 2016-06-30 " Kini ( BOT )  Km 634.500 - NH-47 in Maharashtra  " " Satara - Kagal  " NA "s) " "( BOT ) " 6034300000 2005-11-01 3013900000 2014-09-25 2005-05-05 "Sr No. - )" 100000 "Sh.B.B. Wadkar / 8879616073" "M/s Maharashtra State Road Development Corporation" NA 2017-12-31 34025 2012-04-30 FALSE
"1556" "Upto 3 or more Axle Vehicle" NA NA NA NA " Kini ( BOT ) " 1 "Vehicles passing through both the toll booths are required to pay the specified fee for the entire project stretch between km 592.240 and Km 725.000 and vehicles passing through only one of the toll booths are required to pay 50%  of the said fee." 2015-07-01 2016-06-30 " Kini ( BOT )  Km 634.500 - NH-47 in Maharashtra  " " Satara - Kagal  " NA "s) " "( BOT ) " 6034300000 2005-11-01 3013900000 2014-09-25 2005-05-05 "Sr No. - )" 100000 "Sh.B.B. Wadkar / 8879616073" "M/s Maharashtra State Road Development Corporation" NA 2017-12-31 34025 2012-04-30 FALSE
"1557" "Car/Jeep/Van" 90 140 3065 45 " Amakathadu ( BOT ) " 1 "Monthly pass applicable for non-commercial vehicles :Rs.230/-" 2015-04-01 2016-03-31 " Amakathadu ( BOT )  Km 250.700 - NH-7 in Andhra Pradesh  " " Kurnool - Karidikonda  " 84 "s) " "( BOT ) " 3677300000 2013-05-16 217900000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Shashikant Shinde / 9167755097" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 8280 2013-12-31 FALSE
"1558" "LCV" 150 225 4950 75 " Amakathadu ( BOT ) " 1 "Monthly pass applicable for non-commercial vehicles :Rs.230/-" 2015-04-01 2016-03-31 " Amakathadu ( BOT )  Km 250.700 - NH-7 in Andhra Pradesh  " " Kurnool - Karidikonda  " 84 "s) " "( BOT ) " 3677300000 2013-05-16 217900000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Shashikant Shinde / 9167755097" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 8280 2013-12-31 FALSE
"1559" "Bus/Truck" 310 465 10370 155 " Amakathadu ( BOT ) " 1 "Monthly pass applicable for non-commercial vehicles :Rs.230/-" 2015-04-01 2016-03-31 " Amakathadu ( BOT )  Km 250.700 - NH-7 in Andhra Pradesh  " " Kurnool - Karidikonda  " 84 "s) " "( BOT ) " 3677300000 2013-05-16 217900000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Shashikant Shinde / 9167755097" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 8280 2013-12-31 FALSE
"1560" "Upto 3 Axle Vehicle" 340 510 11310 170 " Amakathadu ( BOT ) " 1 "Monthly pass applicable for non-commercial vehicles :Rs.230/-" 2015-04-01 2016-03-31 " Amakathadu ( BOT )  Km 250.700 - NH-7 in Andhra Pradesh  " " Kurnool - Karidikonda  " 84 "s) " "( BOT ) " 3677300000 2013-05-16 217900000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Shashikant Shinde / 9167755097" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 8280 2013-12-31 FALSE
"1561" "4 to 6 Axle" 490 730 16260 245 " Amakathadu ( BOT ) " 1 "Monthly pass applicable for non-commercial vehicles :Rs.230/-" 2015-04-01 2016-03-31 " Amakathadu ( BOT )  Km 250.700 - NH-7 in Andhra Pradesh  " " Kurnool - Karidikonda  " 84 "s) " "( BOT ) " 3677300000 2013-05-16 217900000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Shashikant Shinde / 9167755097" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 8280 2013-12-31 FALSE
"1562" "HCM/EME" 490 730 16260 245 " Amakathadu ( BOT ) " 1 "Monthly pass applicable for non-commercial vehicles :Rs.230/-" 2015-04-01 2016-03-31 " Amakathadu ( BOT )  Km 250.700 - NH-7 in Andhra Pradesh  " " Kurnool - Karidikonda  " 84 "s) " "( BOT ) " 3677300000 2013-05-16 217900000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Shashikant Shinde / 9167755097" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 8280 2013-12-31 FALSE
"1563" "7 or more Axle" 595 890 19795 295 " Amakathadu ( BOT ) " 1 "Monthly pass applicable for non-commercial vehicles :Rs.230/-" 2015-04-01 2016-03-31 " Amakathadu ( BOT )  Km 250.700 - NH-7 in Andhra Pradesh  " " Kurnool - Karidikonda  " 84 "s) " "( BOT ) " 3677300000 2013-05-16 217900000 2013-11-30 2013-02-18 "Sr No. - S.O.403" NA "Shashikant Shinde / 9167755097" "Mep Hyderabad Banglore  Toll Road Pvt .Ltd." NA 2017-12-31 8280 2013-12-31 FALSE
"1564" "Car/Jeep/Van" 65 95 2110 NA " Bhalgam ( BOT ) " 1 "	Monthly pass applicable for non-commercial vehicles:  Rs230(with in 20 km from toll plaza)" 2015-04-01 2016-03-31 " Bhalgam ( BOT )  Km 439.000 - NH-14 in Gujarat  " " Palanpur - Radhanpur Section  " 63.2 "s) " "( BOT ) " 3260000000 2010-04-27 744900000 2014-01-31 2010-03-26 "Sr No. - )" NA "Shri Balram Shekhawat / 9099984018" "Patel Highway Management Pvt. Ltd." 44844 2017-12-31 11609 2014-01-31 FALSE
"1565" "LCV" 100 155 3405 NA " Bhalgam ( BOT ) " 1 "	Monthly pass applicable for non-commercial vehicles:  Rs230(with in 20 km from toll plaza)" 2015-04-01 2016-03-31 " Bhalgam ( BOT )  Km 439.000 - NH-14 in Gujarat  " " Palanpur - Radhanpur Section  " 63.2 "s) " "( BOT ) " 3260000000 2010-04-27 744900000 2014-01-31 2010-03-26 "Sr No. - )" NA "Shri Balram Shekhawat / 9099984018" "Patel Highway Management Pvt. Ltd." 44844 2017-12-31 11609 2014-01-31 FALSE
"1566" "Bus/Truck" 215 320 7135 NA " Bhalgam ( BOT ) " 1 "	Monthly pass applicable for non-commercial vehicles:  Rs230(with in 20 km from toll plaza)" 2015-04-01 2016-03-31 " Bhalgam ( BOT )  Km 439.000 - NH-14 in Gujarat  " " Palanpur - Radhanpur Section  " 63.2 "s) " "( BOT ) " 3260000000 2010-04-27 744900000 2014-01-31 2010-03-26 "Sr No. - )" NA "Shri Balram Shekhawat / 9099984018" "Patel Highway Management Pvt. Ltd." 44844 2017-12-31 11609 2014-01-31 FALSE
"1567" "Upto 3 Axle Vehicle" 335 505 11190 NA " Bhalgam ( BOT ) " 1 "	Monthly pass applicable for non-commercial vehicles:  Rs230(with in 20 km from toll plaza)" 2015-04-01 2016-03-31 " Bhalgam ( BOT )  Km 439.000 - NH-14 in Gujarat  " " Palanpur - Radhanpur Section  " 63.2 "s) " "( BOT ) " 3260000000 2010-04-27 744900000 2014-01-31 2010-03-26 "Sr No. - )" NA "Shri Balram Shekhawat / 9099984018" "Patel Highway Management Pvt. Ltd." 44844 2017-12-31 11609 2014-01-31 FALSE
"1568" "4 to 6 Axle" 335 505 11190 NA " Bhalgam ( BOT ) " 1 "	Monthly pass applicable for non-commercial vehicles:  Rs230(with in 20 km from toll plaza)" 2015-04-01 2016-03-31 " Bhalgam ( BOT )  Km 439.000 - NH-14 in Gujarat  " " Palanpur - Radhanpur Section  " 63.2 "s) " "( BOT ) " 3260000000 2010-04-27 744900000 2014-01-31 2010-03-26 "Sr No. - )" NA "Shri Balram Shekhawat / 9099984018" "Patel Highway Management Pvt. Ltd." 44844 2017-12-31 11609 2014-01-31 FALSE
"1569" "HCM/EME" 335 505 11190 NA " Bhalgam ( BOT ) " 1 "	Monthly pass applicable for non-commercial vehicles:  Rs230(with in 20 km from toll plaza)" 2015-04-01 2016-03-31 " Bhalgam ( BOT )  Km 439.000 - NH-14 in Gujarat  " " Palanpur - Radhanpur Section  " 63.2 "s) " "( BOT ) " 3260000000 2010-04-27 744900000 2014-01-31 2010-03-26 "Sr No. - )" NA "Shri Balram Shekhawat / 9099984018" "Patel Highway Management Pvt. Ltd." 44844 2017-12-31 11609 2014-01-31 FALSE
"1570" "7 or more Axle" 410 615 13620 NA " Bhalgam ( BOT ) " 1 "	Monthly pass applicable for non-commercial vehicles:  Rs230(with in 20 km from toll plaza)" 2015-04-01 2016-03-31 " Bhalgam ( BOT )  Km 439.000 - NH-14 in Gujarat  " " Palanpur - Radhanpur Section  " 63.2 "s) " "( BOT ) " 3260000000 2010-04-27 744900000 2014-01-31 2010-03-26 "Sr No. - )" NA "Shri Balram Shekhawat / 9099984018" "Patel Highway Management Pvt. Ltd." 44844 2017-12-31 11609 2014-01-31 FALSE
"1571" "Car/Jeep/Van" 55 80 1785 25 " Laxmannath ( BOT ) " 1 " Monthly Pass  Applicable for Non-commercial Vehicles: Rs. 230/-" 2015-06-07 2016-03-31 " Laxmannath ( BOT )  Km 51.550 - NH-60 in Odisha  " " Baleshwar - Kharagpur  " NA "s) " "( BOT ) " 4710500000 2013-08-02 171100000 2013-12-21 2012-12-06 "Sr No. - )" 60000 "Prakash Kumar Lal Das / 9609057000" "Baleshwar Kharagpur Expressway Limited" 19011 2017-10-01 10347 2012-12-21 FALSE
"1572" "LCV" 85 130 2885 45 " Laxmannath ( BOT ) " 1 " Monthly Pass  Applicable for Non-commercial Vehicles: Rs. 230/-" 2015-06-07 2016-03-31 " Laxmannath ( BOT )  Km 51.550 - NH-60 in Odisha  " " Baleshwar - Kharagpur  " NA "s) " "( BOT ) " 4710500000 2013-08-02 171100000 2013-12-21 2012-12-06 "Sr No. - )" 60000 "Prakash Kumar Lal Das / 9609057000" "Baleshwar Kharagpur Expressway Limited" 19011 2017-10-01 10347 2012-12-21 FALSE
"1573" "Bus/Truck" 180 270 6040 90 " Laxmannath ( BOT ) " 1 " Monthly Pass  Applicable for Non-commercial Vehicles: Rs. 230/-" 2015-06-07 2016-03-31 " Laxmannath ( BOT )  Km 51.550 - NH-60 in Odisha  " " Baleshwar - Kharagpur  " NA "s) " "( BOT ) " 4710500000 2013-08-02 171100000 2013-12-21 2012-12-06 "Sr No. - )" 60000 "Prakash Kumar Lal Das / 9609057000" "Baleshwar Kharagpur Expressway Limited" 19011 2017-10-01 10347 2012-12-21 FALSE
"1574" "Upto 3 Axle Vehicle" 200 295 6590 100 " Laxmannath ( BOT ) " 1 " Monthly Pass  Applicable for Non-commercial Vehicles: Rs. 230/-" 2015-06-07 2016-03-31 " Laxmannath ( BOT )  Km 51.550 - NH-60 in Odisha  " " Baleshwar - Kharagpur  " NA "s) " "( BOT ) " 4710500000 2013-08-02 171100000 2013-12-21 2012-12-06 "Sr No. - )" 60000 "Prakash Kumar Lal Das / 9609057000" "Baleshwar Kharagpur Expressway Limited" 19011 2017-10-01 10347 2012-12-21 FALSE
"1575" "4 to 6 Axle" 285 425 9470 140 " Laxmannath ( BOT ) " 1 " Monthly Pass  Applicable for Non-commercial Vehicles: Rs. 230/-" 2015-06-07 2016-03-31 " Laxmannath ( BOT )  Km 51.550 - NH-60 in Odisha  " " Baleshwar - Kharagpur  " NA "s) " "( BOT ) " 4710500000 2013-08-02 171100000 2013-12-21 2012-12-06 "Sr No. - )" 60000 "Prakash Kumar Lal Das / 9609057000" "Baleshwar Kharagpur Expressway Limited" 19011 2017-10-01 10347 2012-12-21 FALSE
"1576" "HCM/EME" 285 425 9470 140 " Laxmannath ( BOT ) " 1 " Monthly Pass  Applicable for Non-commercial Vehicles: Rs. 230/-" 2015-06-07 2016-03-31 " Laxmannath ( BOT )  Km 51.550 - NH-60 in Odisha  " " Baleshwar - Kharagpur  " NA "s) " "( BOT ) " 4710500000 2013-08-02 171100000 2013-12-21 2012-12-06 "Sr No. - )" 60000 "Prakash Kumar Lal Das / 9609057000" "Baleshwar Kharagpur Expressway Limited" 19011 2017-10-01 10347 2012-12-21 FALSE
"1577" "7 or more Axle" 345 520 11530 175 " Laxmannath ( BOT ) " 1 " Monthly Pass  Applicable for Non-commercial Vehicles: Rs. 230/-" 2015-06-07 2016-03-31 " Laxmannath ( BOT )  Km 51.550 - NH-60 in Odisha  " " Baleshwar - Kharagpur  " NA "s) " "( BOT ) " 4710500000 2013-08-02 171100000 2013-12-21 2012-12-06 "Sr No. - )" 60000 "Prakash Kumar Lal Das / 9609057000" "Baleshwar Kharagpur Expressway Limited" 19011 2017-10-01 10347 2012-12-21 FALSE
"1578" "Car/Jeep/Van" 40 60 1350 NA " Varwade ( BOT ) " 1 "Monthly pass applicable for non-commercial vehicles: Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Varwade ( BOT )  Km 178.572 - NH-9 in Maharashtra  " " Pune - Solapur Pkg. II (km 144.400 - km 249.000)  " NA "s) " "( BOT ) " 14020000000 2013-08-31 181700000 2013-12-16 2013-03-26 "Sr No. - 839" 60000 "Sh. M. Kamalapathy / 9545557902" "M/s. Pune Sholapur Road Development Company Ltd." 36900 2017-04-01 15350 2013-12-16 FALSE
